phase,window_start,window_end,window_seconds,hrv_status,hrv_reason,rr_count,rr_pairs,rmssd_ms,sdnn_ms,lf_power,z_score,eye_frame_count,eye_face_detected_ratio,eye_on_screen_ratio,eye_mean_confidence,eye_mean_gaze_x,eye_mean_gaze_y,eye_blink_count_max,eye_mean_fps,eye_mean_transition_rate
task,2026-09-19T10:07:49.753316+00:00,2026-09-19T10:08:19.753316+00:00,30.00,ready,,74,73,,,0.0007,1.2114,898,1.0,0.9365256124721604,0.363951533162613,1249.0686388557724,987.0334158148428,0,30.26123509433034,1.7173719376391983
task,2026-09-19T10:07:50.743745+00:00,2026-09-19T10:08:20.743745+00:00,30.00,ready,,75,74,,,0.0008,1.3463,898,1.0,0.9242761692650334,0.3516191870882549,1289.186716691388,982.4978555297607,0,30.24924834529551,1.7298440979955458
task,2026-09-19T10:07:51.778760+00:00,2026-09-19T10:08:21.778760+00:00,30.00,ready,,76,75,,,0.0009,1.6954,899,1.0,0.9243604004449388,0.34118689845037026,1263.3887110756016,970.320749790724,0,30.249072745278742,1.7417130144605115
task,2026-09-19T10:07:52.769200+00:00,2026-09-19T10:08:22.769200+00:00,30.00,ready,,77,76,,,0.0010,1.8754,898,1.0,0.9242761692650334,0.33709380687307855,1239.7115814613815,958.0087152112641,0,30.243893951225118,1.759910913140312
task,2026-09-19T10:07:53.758777+00:00,2026-09-19T10:08:23.758777+00:00,30.00,ready,,78,77,,,0.0012,2.3936,898,1.0,0.9242761692650334,0.3379160556551411,1230.3523090758815,945.8906503088992,0,30.236724766670363,1.7875278396436527
task,2026-09-19T10:07:54.749001+00:00,2026-09-19T10:08:24.749001+00:00,30.00,ready,,79,78,,,0.0013,2.5633,898,1.0,0.9242761692650334,0.33947593594474473,1208.2246011345212,948.1365343504594,0,30.22882533632872,1.810467706013363
task,2026-09-19T10:07:55.738513+00:00,2026-09-19T10:08:25.738513+00:00,30.00,ready,,80,79,,,0.0013,2.6892,899,1.0,0.9243604004449388,0.34087076094879587,1173.238212512213,949.1776139020793,0,30.225495508458952,1.8002224694104563
task,2026-09-19T10:07:56.727849+00:00,2026-09-19T10:08:26.727849+00:00,30.00,ready,,81,80,,,0.0013,2.7871,898,1.0,0.9242761692650334,0.3432042089797169,1131.3641600436902,949.4643540499368,0,30.212187313527213,1.7988864142538976
task,2026-09-19T10:07:57.764523+00:00,2026-09-19T10:08:27.764523+00:00,30.00,ready,,82,81,,,0.0014,3.0405,897,1.0,0.9241917502787068,0.3584464366261784,1091.0514348442618,933.8336857877084,0,30.183542254441356,1.7935340022296544
task,2026-09-19T10:07:58.752886+00:00,2026-09-19T10:08:28.752886+00:00,30.00,ready,,83,82,,,0.0016,3.3610,897,1.0,0.9241917502787068,0.35892632579426237,1056.762653707554,915.5161738965759,0,30.17061184067326,1.786845039018952
